Title,URLHandle,Description,Vendor,Type,Tags,SKU,Size,Price,CompareAtPrice,WeightG,ImageURL
,nike-zoomx-vaporfly-next-3-women-s,,Nike,,,NIKEZOOM1,UK 7,22995,26444,680,
,nike-zoomx-vaporfly-next-3-women-s,,Nike,,,NIKEZOOM2,UK 8,22995,26444,680,
,nike-zoomx-vaporfly-next-3-women-s,,Nike,,,NIKEZOOM3,UK 9,22995,26444,680,
,nike-zoomx-vaporfly-next-3-women-s,,Nike,,,NIKEZOOM4,UK 10,22995,26444,680,
Nike Tanjun Womens,nike-tanjun-women-s,Lightweight breathable mesh for affordable everyday womens wear.,Nike,Lifestyle Sneakers,Nike Tanjun Women Lifestyle Minimalist Casual Affordable,NIKETANJ0,UK 6,4495,5169,660,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=1200&q=80
,nike-tanjun-women-s,,Nike,,,NIKETANJ1,UK 7,4495,5169,660,
,nike-tanjun-women-s,,Nike,,,NIKETANJ2,UK 8,4495,5169,660,
,nike-tanjun-women-s,,Nike,,,NIKETANJ3,UK 9,4495,5169,660,
,nike-tanjun-women-s,,Nike,,,NIKETANJ4,UK 10,4495,5169,660,
Nike Air Force 1 07 Womens,nike-air-force-1-07-women-s,Durably stitched overlays on the basketball classic for women.,Nike,Lifestyle Sneakers,Nike Air-Force Women Lifestyle Classic Streetwear,NIKEAIRF0,UK 6,9995,11494,820,https://images.unsplash.com/photo-1600269452121-4f2416e55c28?w=1200&q=80
,nike-air-force-1-07-women-s,,Nike,,,NIKEAIRF1,UK 7,9995,11494,820,
,nike-air-force-1-07-women-s,,Nike,,,NIKEAIRF2,UK 8,9995,11494,820,
,nike-air-force-1-07-women-s,,Nike,,,NIKEAIRF3,UK 9,9995,11494,820,
,nike-air-force-1-07-women-s,,Nike,,,NIKEAIRF4,UK 10,9995,11494,820,
Nike Air Force 1 Shadow Womens,nike-air-force-1-shadow-women-s,Double Swooshes and stacked layers add bold dimension for women.,Nike,Lifestyle Sneakers,Nike Air-Force Shadow Women Lifestyle Premium Streetwear,NIKEAIRF0,UK 6,11995,13794,870,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=1200&q=80
,nike-air-force-1-shadow-women-s,,Nike,,,NIKEAIRF1,UK 7,11995,13794,870,
,nike-air-force-1-shadow-women-s,,Nike,,,NIKEAIRF2,UK 8,11995,13794,870,
,nike-air-force-1-shadow-women-s,,Nike,,,NIKEAIRF3,UK 9,11995,13794,870,
,nike-air-force-1-shadow-women-s,,Nike,,,NIKEAIRF4,UK 10,11995,13794,870,
Nike Free Run 5.0 Womens,nike-free-run-5-0-women-s,Sock-like feel with Free outsole grooves for womens running.,Nike,Running Shoes,Nike Free-Run Women Running Minimalist Flexible,NIKEFREE0,UK 6,8995,10344,680,https://images.unsplash.com/photo-1542219550-37153d387c27?w=1200&q=80
,nike-free-run-5-0-women-s,,Nike,,,NIKEFREE1,UK 7,8995,10344,680,
,nike-free-run-5-0-women-s,,Nike,,,NIKEFREE2,UK 8,8995,10344,680,
,nike-free-run-5-0-women-s,,Nike,,,NIKEFREE3,UK 9,8995,10344,680,
,nike-free-run-5-0-women-s,,Nike,,,NIKEFREE4,UK 10,8995,10344,680,
Nike Court Vision Low Womens,nike-court-vision-low-women-s,Classic leather upper for versatile everyday womens lifestyle.,Nike,Lifestyle Sneakers,Nike Court-Vision Women Lifestyle Retro Affordable,NIKECOUR0,UK 6,4495,5169,730,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=1200&q=80
,nike-court-vision-low-women-s,,Nike,,,NIKECOUR1,UK 7,4495,5169,730,
,nike-court-vision-low-women-s,,Nike,,,NIKECOUR2,UK 8,4495,5169,730,
,nike-court-vision-low-women-s,,Nike,,,NIKECOUR3,UK 9,4495,5169,730,
,nike-court-vision-low-women-s,,Nike,,,NIKECOUR4,UK 10,4495,5169,730,
Nike Phantom GX Elite Womens,nike-phantom-gx-elite-women-s,Gripknit technology for precision womens football.,Nike,Football Boots,Nike Phantom Women Football Soccer Elite,NIKEPHAN0,UK 6,17995,20694,740,https://images.unsplash.com/photo-1577471488278-16eec37ffcc2?w=1200&q=80
,nike-phantom-gx-elite-women-s,,Nike,,,NIKEPHAN1,UK 7,17995,20694,740,
,nike-phantom-gx-elite-women-s,,Nike,,,NIKEPHAN2,UK 8,17995,20694,740,
,nike-phantom-gx-elite-women-s,,Nike,,,NIKEPHAN3,UK 9,17995,20694,740,
,nike-phantom-gx-elite-women-s,,Nike,,,NIKEPHAN4,UK 10,17995,20694,740,
Nike Air Zoom Structure 25 Womens,nike-air-zoom-structure-25-women-s,Cushlon 3.0 foam and Zoom Air for stable womens running.,Nike,Running Shoes,Nike Structure Women Running Stability Zoom-Air,NIKEAIRZ0,UK 6,11495,13219,800,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?w=1200&q=80
,nike-air-zoom-structure-25-women-s,,Nike,,,NIKEAIRZ1,UK 7,11495,13219,800,
,nike-air-zoom-structure-25-women-s,,Nike,,,NIKEAIRZ2,UK 8,11495,13219,800,
,nike-air-zoom-structure-25-women-s,,Nike,,,NIKEAIRZ3,UK 9,11495,13219,800,
,nike-air-zoom-structure-25-women-s,,Nike,,,NIKEAIRZ4,UK 10,11495,13219,800,
Nike Vomero 17 Womens,nike-vomero-17-women-s,ZoomX and ReactX foam stack for premium cushioning for women.,Nike,Running Shoes,Nike Vomero Women Running Max-Cushion ZoomX Premium,NIKEVOME0,UK 6,14995,17244,820,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=1200&q=80
,nike-vomero-17-women-s,,Nike,,,NIKEVOME1,UK 7,14995,17244,820,
,nike-vomero-17-women-s,,Nike,,,NIKEVOME2,UK 8,14995,17244,820,
,nike-vomero-17-women-s,,Nike,,,NIKEVOME3,UK 9,14995,17244,820,
,nike-vomero-17-women-s,,Nike,,,NIKEVOME4,UK 10,14995,17244,820,
